,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE,Molecule Graph
2432,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,506.0,,THF,512.0,3.72,0.63,1.21,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B800>
2437,OC(=O)c1cc2C(=O)C(=Cc3ccc(cc3)N(c3ccccc3)c3ccccc3)C(=O)c2cc1C(=O)O,triphenylamine,495.0,633.0,THF,470.0,3.26,0.62,0.95,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B850>
2443,N#CC(=Cc1ccc(cc1)N(c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1ccccc1)C(=O)O,triphenylamine,410.0,,ethanol,770.0,10.04,0.73,5.65,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B8A0>
2444,N#CC(=Cc1ccc(cc1)N(c1ccc(cc1)C#Cc1ccccc1)c1ccc(cc1)C#Cc1ccccc1)C(=O)O,triphenylamine,410.0,,ethanol,780.0,9.12,0.73,5.19,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B8F0>
2446,CCCCCCCCn1c(=O)c2c(c1c1ccc(s1)c1sc(c3c1OCCO3)c1ccc(cc1)N(c1ccc3c(c1)C(CCCCCC)(CCCCCC)c1c3cccc1)c1ccc3c(c1)C(CCCCCC)(CCCCCC)c1c3cccc1)c(=O)n(c2c1ccc(s1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CCCCCCCC,triphenylamine,727.0,638.0,dichloromethane,450.0,9.2,0.52,2.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B940>
2450,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1sc(c2c1OCCO2)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,590.0,510.0,dichloromethane,370.0,3.3,0.52,0.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B990>
2454,O=C1N/C(=C\c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C(=O)N1,triphenylamine,427.0,,THF,600.0,4.29,0.67,1.75,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3B9E0>
2455,O=C1S/C(=C\c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C(=O)N1,triphenylamine,433.0,,THF,510.0,2.98,0.65,0.99,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BA30>
2456,O=C1NC(=O)/C(=C/c2ccc(cc2)N(c2ccc(cc2)/C=C/2\NC(=O)NC2=O)c2ccccc2)/N1,triphenylamine,457.0,,THF,570.0,7.6,0.62,2.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BA80>
2457,O=C1NC(=O)/C(=C\c2ccc(cc2)N(c2ccc(cc2)/C=C/2\SC(=O)NC2=O)c2ccccc2)/S1,triphenylamine,446.0,,THF,500.0,5.19,0.55,1.42,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BAD0>
2458,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,407.0,545.0,methanol,590.0,5.81,0.68,2.31,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BB20>
2466,N#C/C(=C/c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,482.0,,ethanol,920.0,4.26,0.98,3.83,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BB70>
2468,N#C/C(=C/c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)c1sc(c2c1OCCO2)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1ccc2c(c1)[nH]c1c2cccc1)/C(=O)O,triphenylamine,516.0,,ethanol,580.0,12.08,0.74,5.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BBC0>
2469,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)C=Cc2ccc(cc2)N(c2ccc(cc2)C=Cc2ccc(cc2)/C=C\2/SC(=S)N(C2=O)CC(=O)O)c2ccccc2)/C1=O,triphenylamine,,,-,680.0,9.4,0.85,5.43,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BC10>
2470,N#C/C(=C/c1sc(c2c1OCCO2)c1ccc(cc1)N(c1ccc(cc1)c1sc(c2c1OCCO2)/C=C(\C(=O)O)/C#N)c1ccccc1)/C(=O)O,triphenylamine,493.0,,ethanol,633.0,7.51,0.88,4.16,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BC60>
2471,OC(=O)CN1C(=S)SC(=Cc2ccc(cc2)N(c2ccc(cc2)C=C2SC(=S)N(C2=O)CC(=O)O)c2ccccc2)C1=O,triphenylamine,,,-,550.0,9.2,0.75,3.79,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BCB0>
2472,N#C/C(=C\c1cn(cc1c1ccc(cc1)N(c1ccc(cc1)c1cn(cc1/C=C(/C(=O)O)\C#N)C)c1ccccc1)C)/C(=O)O,triphenylamine,,,-,600.0,0.65,0.78,0.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BD00>
2474,CCCCCCCCCCC(Cn1c(c2ccc(s2)c2sc(c3c2OCCO3)c2ccc(cc2)N(c2ccccc2)c2ccccc2)c2c(c1=O)c(n(c2=O)CC(CCCCCCCCCC)CCCCCCCC)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)CCCCCCCC,triphenylamine,724.0,656.0,dichloromethane,420.0,7.8,0.54,1.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BD50>
2476,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)c1cccs1)/C(=O)O,triphenylamine,421.0,557.0,DMF,660.0,12.9,0.71,6.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BDA0>
2477,N#C/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)/C(=O)O,triphenylamine,436.0,555.0,DMF,650.0,13.6,0.71,6.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BDF0>
2481,CCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCC)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N,triphenylamine,510.0,,chloroform,630.0,16.8,0.63,6.65,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BE40>
2482,CCCCOc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N,triphenylamine,506.0,,chloroform,570.0,16.53,0.58,5.49,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BE90>
2483,N#CC(=Cc1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)C(=O)O,triphenylamine,484.0,,chloroform,565.0,16.77,0.53,5.34,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BEE0>
2484,N#CC(=Cc1ccc(s1)C=Cc1ccc(cc1)N(c1ccc(cc1)/C=C/c1ccc(s1)C=C(C(=O)O)C#N)c1ccccc1)C(=O)O,triphenylamine,468.0,,ethanol,612.0,12.68,0.73,5.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BF30>
2485,OC(=O)CN1C(=S)S/C(=C\c2ccc(s2)/C=C/c2ccc(cc2)N(c2ccc(cc2)/C=C/c2ccc(s2)/C=C\2/SC(=S)N(C2=O)CC(=O)O)c2ccccc2)/C1=O,triphenylamine,510.0,,ethanol,503.0,3.65,0.69,1.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3BF80>
2486,CCCCCCCCN(c1ccccc1)c1ccc(cc1)C=C1C(=O)NC(=O)NC1=O,diphenylamine,451.0,,THF,550.0,3.71,0.75,1.53,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40030>
2487,CCCCCCCCN(c1ccccc1)c1ccc(cc1)C=C1C(=O)NC(=S)NC1=O,diphenylamine,482.0,,THF,490.0,1.37,0.66,0.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40080>
2488,CCCCCCCCC1(CC=C(C=C1)NC(=C1C(=O)NC(=O)NC1=O)c1ccccc1)C=C1C(=O)NC(=O)NC1=O,diphenylamine,467.0,,THF,510.0,2.63,0.75,1.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC400D0>
2489,CCCCCCCCN(c1ccc(cc1)C=C1C(=O)NC(=S)NC1=O)c1ccc(cc1)C=C1C(=O)NC(=S)NC1=O,diphenylamine,506.0,,THF,510.0,1.09,0.72,0.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40120>
2523,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,492.0,,THF,497.0,2.04,0.68,0.69,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40170>
2526,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)C=C1C(=O)c2c(C1=O)cc(c(c2)C(=O)O)C(=O)O,triphenylamine,505.0,645.0,THF,500.0,3.55,0.61,1.14,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC401C0>
2538,Cc1ccc(cc1)N1c2ccc(cc2C2C1CCC2)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O,indoline,484.0,,dichloromethane,728.0,12.61,0.667,6.12,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40210>
2539,Cc1ccc(cc1)N1c2ccc(cc2C2C1CCC2)C#Cc1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O,indoline,482.0,,dichloromethane,695.0,13.22,0.6829999999999999,6.28,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40260>
2540,Cc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)C#Cc1ccc(cc1)C(=O)O,indoline,508.0,,dichloromethane,786.0,13.44,0.675,7.13,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC402B0>
2544,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,indoline,531.0,,CH3OH/CHCl3,740.0,17.6,0.71,9.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40300>
2545,CCCCCCCCC1(CCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C=C(\C(=O)O)/C#N,indoline,557.0,,CH3OH/CHCl3,711.0,18.3,0.6940000000000001,9.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40350>
2558,N#CC(=CC1COc2c(O1)c(sc2COCCCCCCCCOCc1sc(c2c1OCC(O2)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,501.0,,chloroform,755.0,14.83,0.72,8.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC403A0>
2559,N#CC(=Cc1sc(c2c1OC(COCCCCCCCCOCC1COc3c(O1)c(sc3C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CO2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,494.0,,chloroform,756.0,13.21,0.75,7.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC403F0>
2560,N#CC(=CC1COc2c(O1)c(COCCCCCCCCOCc1sc(c3c1OC(CO3)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)sc2c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,triphenylamine,488.0,,chloroform,752.0,12.0,0.73,6.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40440>
2561,COCC1COc2c(O1)c(sc2C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,496.0,,chloroform,705.0,10.27,0.73,5.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40490>
2562,COCC1COc2c(O1)c(C=C(C(=O)O)C#N)sc2c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,491.0,,chloroform,694.0,9.69,0.73,4.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC404E0>
2567,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1cc(cc(n1)c1cc(cc(n1)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)C(=O)O)C(=O)O,triphenylamine,471.0,569.0,dichloromethane,682.0,7.01,0.69,3.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40530>
2568,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(c(n1)c1ccc(c(n1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)(CCCCCC)CCCCCC)C(=O)O)C(=O)O)(CCCCCC)CCCCCC,triphenylamine,478.0,584.0,dichloromethane,708.0,8.19,0.67,3.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40580>
2569,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,516.0,,dichloromethane,710.0,12.11,0.62,5.33,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC405D0>
2570,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(c(c1)c1cc(ccc1c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,503.0,,dichloromethane,740.0,14.42,0.62,6.61,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40620>
2571,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1cc(c(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1cc(sc1c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,triphenylamine,483.0,,dichloromethane,740.0,14.71,0.63,6.86,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40670>
2572,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC,triphenylamine,,,-,520.0,2.5,0.78,1.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC406C0>
2574,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,,,-,630.0,9.25,0.61,3.56,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40710>
2575,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)n(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,triphenylamine,,,-,620.0,7.92,0.68,3.34,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40760>
2576,CCCCCCOc1ccc(cc1)C(c1cc(cc(c1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,triphenylamine,,,-,450.0,1.34,0.76,0.46,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC407B0>
2600,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\C#N,indoline,355.0,460.0,THF,500.0,2.66,0.64,0.86,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40800>
2602,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\C#N,indoline,396.0,506.0,THF,579.0,9.29,0.64,3.45,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40850>
2604,CCCCCCCCCCCCc1cc(sc1c1cc2c(s1)cc(s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C3,indoline,516.0,,Dichloromethane,751.0,10.0,0.586,4.38,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC408A0>
2608,OC(=O)N1C(=S)S/C(=C\c2ccc(s2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/C1=O,triphenylamine,503.0,,dichloromethane,632.0,6.65,0.738,3.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC408F0>
2609,N#C/C(=c/1\s/c(=C\c2ccc(s2)c2ccc(cc2)N(c2ccccc2)c2ccccc2)/c(=O)n1C)/C(=O)O,triphenylamine,496.0,,dichloromethane,699.0,12.89,0.696,6.27,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40940>
2610,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C#Cc1cc2CCCc3ccc(CCCc1cc2)cc3)c1ccc(cc1)C#Cc1cc2CCCc3ccc(CCCc1cc2)cc3)/C(=O)O,triphenylamine,446.0,556.0,THF,681.0,14.5,0.61,6.02,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40990>
2611,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C#Cc1ccccc1)c1ccc(cc1)C#Cc1ccccc1)/C(=O)O,triphenylamine,445.0,552.0,THF,635.0,14.01,0.6,5.34,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC409E0>
2612,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/Cc1cc2CCCc3ccc(CCCc1cc2)cc3)c1ccc(cc1)/C=C/Cc1cc2CCCc3ccc(CCCc1cc2)cc3)/C(=O)O,triphenylamine,479.0,556.0,THF,663.0,14.67,0.63,6.12,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40A30>
2614,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)/C(=O)O,triphenylamine,458.0,564.0,THF,642.0,15.14,0.62,6.01,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40A80>
2618,N#C/C(=C\c1ccc(s1)c1sc(cc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,478.0,636.0,THF,630.0,16.97,0.65,7.02,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40AD0>
2619,N#C/C(=C\c1ccc(cc1)c1sc(cc1c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,451.0,626.0,THF,650.0,13.75,0.62,5.56,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40B20>
2620,N#C/C(=C\c1ccc(cc1)c1sc(cc1c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,462.0,512.0,THF,550.0,7.94,0.59,2.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40B70>
2621,CCCCCCn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1sc(c(c1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,482.0,654.0,THF,630.0,16.98,0.68,7.28,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40BC0>
2634,N#C/C(=C\c1ccc(s1)c1sc(cc1c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,472.0,621.0,THF,620.0,15.63,0.66,6.33,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40C10>
2643,CCCCC(Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1cc(c(s1)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)CCCCCC)CCCCCC)c1ccc(s1)CC(CCCC)CC)c1cc(c(s1)c1cc(c(s1)c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N)CCCCCC)CCCCCC)CC,triphenylamine,484.0,,THF,592.0,14.64,0.6920000000000001,5.85,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40C60>
2652,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1nc(c(n1CCCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,484.0,608.0,THF,640.0,8.04,0.66,3.34,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40CB0>
2656,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1nc2c(n1CCCCCC)c1cc(sc1c1c2cc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,460.0,653.0,THF,620.0,8.27,0.69,3.54,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40D00>
2660,CCCCCCn1c2ccc(cc2c2c1cccc2)c1[nH]c(c(n1)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)O)\C#N,triphenylamine,388.0,585.0,THF,650.0,9.03,0.7,4.11,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40D50>
2663,N#C/C(=C\c1ccc2c(c1)c1cc(ccc1C12c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)/C=C(/C(=O)O)\C#N)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,392.0,535.0,acetonitrile,630.0,8.9,0.67,3.75,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40DA0>
2666,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Cc1ccncc1,triphenylamine,,,-,540.0,1.34,0.5,0.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40DF0>
2667,C[n+]1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,,,-,510.0,0.8,0.48,0.19,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40E40>
2668,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Cc1cc(/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)nc(c1)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,,,-,457.0,6.17,0.5,1.41,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40E90>
2669,C[n+]1c(/C=C/c2ccc(cc2)N(c2ccccc2)c2ccccc2)cc(cc1/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,triphenylamine,,,-,650.0,10.3,0.5,3.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40EE0>
2675,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,437.0,540.0,dichloromethane,653.0,10.8,0.672,4.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40F30>
2676,N#CC(=Cc1ccc(s1)c1ccc(cc1)N(CCO[Si](C(C)(C)C)(C)C)C)C(=O)O,triphenylamine,470.0,578.0,THF,662.0,12.57,0.6629999999999999,5.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC40F80>
2677,CN(c1ccc(cc1)/C=C/c1ccc(s1)C=C(C(=O)O)C#N)CCO[Si](C(C)(C)C)(C)C,triphenylamine,491.0,616.0,THF,655.0,15.14,0.64,6.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D030>
2678,N#CC(=Cc1ccc(c2c1nsn2)c1ccc(cc1)N(CCO[Si](C(C)(C)C)(C)C)C)C(=O)O,triphenylamine,524.0,637.0,THF,563.0,6.37,0.6579999999999999,2.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D080>
2679,N#CC(=Cc1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(cc1)N(CCO[Si](C(C)(C)C)(C)C)C)C(=O)O,triphenylamine,471.0,617.0,THF,630.0,10.26,0.659,4.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D0D0>
2683,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1ccccc1)c1ccc(cc1)/C=C/c1ccccc1)/C(=O)O,triphenylamine,477.0,555.0,THF,663.0,14.67,0.63,6.12,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D120>
2698,CCCCOc1ccc(cc1)N(c1ccc2c(c1)ccc(n2)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCC,triphenylamine,466.0,554.0,chloroform,680.0,6.13,0.73,3.07,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D170>
2701,N#C/C(=C\c1cc2c(s1)cc(s2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,467.0,628.0,DMF,739.0,11.7,0.653,5.65,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D1C0>
2703,N#C/C(=C\c1sc2c(c1)sc1c2sc(c1)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O,triphenylamine,479.0,627.0,DMF,692.0,12.3,0.639,5.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC3D210>
